class,section,title,teacherName,day,start,end
109-101-MQ,9,Physical Activity and Health,Linsey Tweedie,4,1400,1600
109-101-MQ,10,Physical Activity and Health,Joaquina Cheever,3,1400,1600
109-101-MQ,11,Physical Activity and Health,Joaquina Cheever,3,1600,1800
109-101-MQ,12,Physical Activity and Health,Elda Weldy,2,1000,1200
109-101-MQ,13,Physical Activity and Health,Elda Weldy,1,1000,1200
109-101-MQ,14,Physical Activity and Health,Elda Weldy,5,1400,1600
109-101-MQ,15,Physical Activity and Health,Rachal Sargent,3,1400,1600
109-101-MQ,16,Physical Activity and Health,Malinda Scher,1,1400,1600
109-101-MQ,17,Physical Activity and Health,Alida Tremblay,1,1400,1600
109-101-MQ,18,Physical Activity and Health,Rachal Sargent,5,1600,1800
109-101-MQ,19,Physical Activity and Health,Alida Tremblay,3,1400,1600
109-101-MQ,20,Physical Activity and Health,Alida Tremblay,3,1600,1800
109-101-MQ,21,Physical Activity and Health,Ria Maass,2,800,1000
109-101-MQ,22,Physical Activity and Health,Dennis Luczynski,1,800,1000
109-101-MQ,23,Physical Activity and Health,Dennis Luczynski,1,1000,1200
109-101-MQ,24,Physical Activity and Health,Albina Messick,5,800,1000
109-101-MQ,25,Physical Activity and Health,Albina Messick,5,1000,1200
109-101-MQ,26,Physical Activity and Health,Fatimah Hoeft,3,1000,1200
109-101-MQ,27,Physical Activity and Health,Fatimah Hoeft,3,1200,1400
109-101-MQ,28,Physical Activity and Health,Lazaro Stockton,1,1200,1400
109-101-MQ,29,Physical Activity and Health,Lazaro Stockton,3,1200,1400
109-101-MQ,30,Physical Activity and Health,Rich Ignacio,5,800,1000
109-101-MQ,31,Physical Activity and Health,Joie Porco,1,1200,1400
109-101-MQ,32,Physical Activity and Health,Joie Porco,4,800,1000
109-101-MQ,33,Physical Activity and Health,Eddy Abbott,4,1200,1400
109-101-MQ,34,Physical Activity and Health,Eddy Abbott,4,1400,1600
109-101-MQ,35,Physical Activity and Health,Sacha Abston,2,1400,1600
109-101-MQ,36,Physical Activity and Health,Sacha Abston,3,1000,1200
109-101-MQ,37,Physical Activity and Health,Giuseppina Twilley,5,1200,1400
109-101-MQ,38,Physical Activity and Health,Rich Ignacio,3,1200,1400
109-101-MQ,39,Physical Activity and Health,Rich Ignacio,5,1000,1200
109-101-MQ,40,Physical Activity and Health,Joaquina Cheever,2,1200,1400
109-101-MQ,41,Physical Activity and Health,Albina Messick,1,1400,1600
109-101-MQ,42,Physical Activity and Health,Lazaro Stockton,2,1200,1400
109-101-MQ,43,Physical Activity and Health,Rachal Sargent,2,1400,1600
109-101-MQ,44,Physical Activity and Health,Adelaide Robie,2,800,1000
109-101-MQ,45,Physical Activity and Health,Adelaide Robie,2,1000,1200
109-101-MQ,46,Physical Activity and Health,Dennis Luczynski,3,1200,1400
109-101-MQ,47,Physical Activity and Health,Dennis Luczynski,4,800,1000
109-101-MQ,49,Physical Activity and Health,Rafael Steil,4,1600,1800
109-101-MQ,50,Physical Activity and Health,Lashawnda Herriman,4,1200,1400
109-101-MQ,51,Physical Activity and Health,Lashawnda Herriman,4,1400,1600
109-101-MQ,52,Physical Activity and Health,Joie Porco,4,1000,1200
109-101-MQ,3001,Physical Activity and Health,Rafael Steil,1,1900,2110
109-101-MQ,3002,Physical Activity and Health,Rafael Steil,4,1900,2100
109-102-MQ,6,Physical Activity and Effectiveness,Giuseppina Twilley,5,1400,1600
109-102-MQ,13,Physical Activity and Effectiveness,Jamie Pedretti,3,1200,1400
109-102-MQ,14,Physical Activity and Effectiveness,Joaquina Cheever,4,1200,1400
109-102-MQ,15,Physical Activity and Effectiveness,Linsey Tweedie,2,1600,1800
109-102-MQ,16,Physical Activity and Effectiveness,Linsey Tweedie,5,1200,1400
109-102-MQ,17,Physical Activity and Effectiveness,Malinda Scher,3,1600,1800
109-102-MQ,18,Physical Activity and Effectiveness,Fatimah Hoeft,1,1600,1800
109-102-MQ,19,Physical Activity and Effectiveness,Elda Weldy,1,800,1000
109-102-MQ,20,Physical Activity and Effectiveness,Elda Weldy,4,800,1000
109-102-MQ,21,Physical Activity and Effectiveness,Ria Maass,2,1200,1400
109-102-MQ,22,Physical Activity and Effectiveness,Malinda Scher,3,1400,1600
109-102-MQ,23,Physical Activity and Effectiveness,Rich Ignacio,3,800,1000
109-102-MQ,24,Physical Activity and Effectiveness,Rich Ignacio,2,800,1000
109-102-MQ,25,Physical Activity and Effectiveness,Albina Messick,4,1400,1600
109-102-MQ,26,Physical Activity and Effectiveness,Albina Messick,4,1600,1800
109-102-MQ,27,Physical Activity and Effectiveness,Alida Tremblay,1,1200,1400
109-102-MQ,28,Physical Activity and Effectiveness,Anne Clear,1,800,1000
109-102-MQ,29,Physical Activity and Effectiveness,Anne Clear,4,800,1000
109-102-MQ,30,Physical Activity and Effectiveness,Lashawnda Herriman,1,1400,1600
109-102-MQ,31,Physical Activity and Effectiveness,Lashawnda Herriman,3,1000,1200
109-102-MQ,32,Physical Activity and Effectiveness,Eddy Abbott,1,1200,1400
109-102-MQ,33,Physical Activity and Effectiveness,Eddy Abbott,1,1400,1600
109-102-MQ,34,Physical Activity and Effectiveness,Lazaro Stockton,3,1000,1200
109-102-MQ,35,Physical Activity and Effectiveness,Dennis Luczynski,3,800,1000
109-102-MQ,36,Physical Activity and Effectiveness,Adelaide Robie,4,1000,1200
109-102-MQ,37,Physical Activity and Effectiveness,Jamie Pedretti,1,1600,1800
109-102-MQ,38,Physical Activity and Effectiveness,Fredericka Andrepont,2,800,1000
109-102-MQ,39,Physical Activity and Effectiveness,Giuseppina Twilley,2,1400,1600
109-102-MQ,40,Physical Activity and Effectiveness,Lashawnda Herriman,2,1600,1800
109-102-MQ,41,Physical Activity and Effectiveness,Dennis Luczynski,5,800,1000
109-102-MQ,42,Physical Activity and Effectiveness,Dennis Luczynski,5,1000,1200
109-102-MQ,43,Physical Activity and Effectiveness,Joie Porco,3,1200,1400
109-102-MQ,44,Physical Activity and Effectiveness,Joie Porco,3,1400,1600
109-102-MQ,45,Physical Activity and Effectiveness,Joie Porco,5,1000,1200
109-102-MQ,46,Physical Activity and Effectiveness,Joie Porco,5,1200,1400
109-102-MQ,47,Physical Activity and Effectiveness,Rachal Sargent,5,1400,1600
109-102-MQ,48,Physical Activity and Effectiveness,Albina Messick,4,1800,2000
109-102-MQ,49,Physical Activity and Effectiveness,Fatimah Hoeft,5,1600,1800
109-102-MQ,50,Physical Activity and Effectiveness,Blythe Leopard,5,800,1000
109-102-MQ,51,Physical Activity and Effectiveness,Blythe Leopard,5,1200,1400
109-102-MQ,52,Physical Activity and Effectiveness,Anne Clear,4,1400,1600
109-102-MQ,53,Physical Activity and Effectiveness,Anne Clear,2,1000,1200
109-102-MQ,54,Physical Activity and Effectiveness,Blythe Leopard,2,1400,1600
109-102-MQ,55,Physical Activity and Effectiveness,Blythe Leopard,3,1000,1200
109-102-MQ,3001,Physical Activity and Effectiveness,Amado Kellum,2,1900,2100
109-102-MQ,3002,Physical Activity and Effectiveness,Rafael Steil,5,1900,2100
109-102-MQ,6001,Physical Activity and Effectiveness,Julene Depp,3,1130,1330
109-103-MQ,15,Physical Activity and Autonomy,Jamie Pedretti,1,1000,1200
109-103-MQ,16,Physical Activity and Autonomy,Jamie Pedretti,2,800,1000
109-103-MQ,17,Physical Activity and Autonomy,Linsey Tweedie,4,1600,1800
109-103-MQ,18,Physical Activity and Autonomy,Linsey Tweedie,5,800,1000
109-103-MQ,19,Physical Activity and Autonomy,Joaquina Cheever,5,1400,1600
109-103-MQ,20,Physical Activity and Autonomy,Joaquina Cheever,5,1600,1800
109-103-MQ,21,Physical Activity and Autonomy,Elda Weldy,2,800,1000
109-103-MQ,22,Physical Activity and Autonomy,Elda Weldy,5,1000,1200
109-103-MQ,23,Physical Activity and Autonomy,Patrica Haymond,3,1600,1800
109-103-MQ,24,Physical Activity and Autonomy,Rafael Steil,1,1600,1800
109-103-MQ,25,Physical Activity and Autonomy,Anne Clear,5,1000,1200
109-103-MQ,26,Physical Activity and Autonomy,Malinda Scher,2,1200,1400
109-103-MQ,27,Physical Activity and Autonomy,Malinda Scher,4,1000,1200
109-103-MQ,28,Physical Activity and Autonomy,Fatimah Hoeft,1,1200,1400
109-103-MQ,29,Physical Activity and Autonomy,Fatimah Hoeft,5,1200,1400
109-103-MQ,30,Physical Activity and Autonomy,Fredericka Andrepont,1,1200,1400
109-103-MQ,31,Physical Activity and Autonomy,Fredericka Andrepont,1,1400,1600
109-103-MQ,32,Physical Activity and Autonomy,Alida Tremblay,2,1200,1400
109-103-MQ,33,Physical Activity and Autonomy,Alida Tremblay,2,1400,1600
109-103-MQ,34,Physical Activity and Autonomy,Alida Tremblay,4,1200,1400
109-103-MQ,35,Physical Activity and Autonomy,Alida Tremblay,4,1400,1600
109-103-MQ,36,Physical Activity and Autonomy,Sacha Abston,2,1600,1800
109-103-MQ,37,Physical Activity and Autonomy,Sacha Abston,3,1400,1600
109-103-MQ,38,Physical Activity and Autonomy,Anne Clear,2,800,1000
109-103-MQ,39,Physical Activity and Autonomy,Blythe Leopard,4,800,1000
109-103-MQ,40,Physical Activity and Autonomy,Blythe Leopard,4,1000,1200
109-103-MQ,41,Physical Activity and Autonomy,Malinda Scher,2,1000,1200
109-103-MQ,42,Physical Activity and Autonomy,Malinda Scher,4,800,1000
109-103-MQ,43,Physical Activity and Autonomy,Rachal Sargent,4,1600,1800
109-103-MQ,44,Physical Activity and Autonomy,Rachal Sargent,3,1600,1800
109-103-MQ,45,Physical Activity and Autonomy,Lashawnda Herriman,2,1400,1600
109-103-MQ,46,Physical Activity and Autonomy,Rachal Sargent,2,1000,1200
109-103-MQ,47,Physical Activity and Autonomy,France Toft,2,1200,1400
109-103-MQ,48,Physical Activity and Autonomy,Albina Messick,3,800,1000
109-103-MQ,49,Physical Activity and Autonomy,Albina Messick,1,1000,1200
109-103-MQ,50,Physical Activity and Autonomy,Patrica Haymond,3,1400,1600
109-103-MQ,51,Physical Activity and Autonomy,Rachal Sargent,1,1600,1800
109-103-MQ,52,Physical Activity and Autonomy,Adelaide Robie,1,800,1000
109-103-MQ,53,Physical Activity and Autonomy,Adelaide Robie,1,1000,1200
109-103-MQ,54,Physical Activity and Autonomy,Rachal Sargent,4,1000,1200
109-103-MQ,55,Physical Activity and Autonomy,Rafael Steil,5,1600,1800
109-103-MQ,56,Physical Activity and Autonomy,Patrica Haymond,5,1400,1600
109-103-MQ,57,Physical Activity and Autonomy,Ria Maass,3,800,1000
109-103-MQ,58,Physical Activity and Autonomy,Ria Maass,3,1000,1200
109-103-MQ,59,Physical Activity and Autonomy,Blythe Leopard,2,1600,1800
109-103-MQ,60,Physical Activity and Autonomy,Blythe Leopard,3,1200,1400
109-BWT-03,1,Science and technology: human performance,Rich Ignacio,2,1130,1300
109-BWT-03,1,Science and technology: human performance,Rich Ignacio,4,1130,1300
140-212-DW,1,Histology,Harris Kane,1,1000,1130
140-212-DW,1,Histology,Harris Kane,4,830,1000
140-212-DW,2,Histology,Harris Kane,1,1000,1130
140-212-DW,2,Histology,Harris Kane,4,830,1000
140-221-DW,1,Introductory Microbiology,Willow Nicolai,1,1200,1300
140-221-DW,1,Introductory Microbiology,Willow Nicolai,4,1430,1600
140-221-DW,1,Introductory Microbiology,Willow Nicolai,5,1200,1330
140-221-DW,2,Introductory Microbiology,Willow Nicolai,1,1200,1300
140-221-DW,2,Introductory Microbiology,Willow Nicolai,4,1230,1400
140-221-DW,2,Introductory Microbiology,Willow Nicolai,5,1030,1200
140-231-DW,1,Clinical Biochemistry 1,Erma Waller,2,800,1000
140-231-DW,1,Clinical Biochemistry 1,Erma Waller,2,1500,1700
140-231-DW,2,Clinical Biochemistry 1,Erma Waller,2,800,1000
140-231-DW,2,Clinical Biochemistry 1,Erma Waller,2,1200,1400
140-424-DW,1,Clinical Microbiology 2,Willow Nicolai,1,1000,1100
140-424-DW,1,Clinical Microbiology 2,Willow Nicolai,2,1200,1400
140-424-DW,1,Clinical Microbiology 2,Willow Nicolai,3,1200,1300
140-424-DW,2,Clinical Microbiology 2,Willow Nicolai,1,1000,1100
140-424-DW,2,Clinical Microbiology 2,Willow Nicolai,2,1430,1630
140-424-DW,2,Clinical Microbiology 2,Willow Nicolai,3,1300,1400
140-433-DW,1,Clinical Biochemistry 3,Almeda Deloach,4,1200,1400
140-433-DW,1,Clinical Biochemistry 3,Almeda Deloach,5,800,1000
140-433-DW,2,Clinical Biochemistry 3,Almeda Deloach,4,1430,1630
140-433-DW,2,Clinical Biochemistry 3,Almeda Deloach,5,800,1000
140-443-DW,1,Special Hematology,Arleen Ruston,2,800,1000
140-443-DW,1,Special Hematology,Arleen Ruston,2,1430,1630
140-443-DW,2,Special Hematology,Arleen Ruston,2,800,1000
140-443-DW,2,Special Hematology,Arleen Ruston,2,1200,1400
140-452-DW,1,Transfusion Science Practices 1,Tamatha Beadles,4,1430,1630
140-452-DW,1,Transfusion Science Practices 1,Tamatha Beadles,5,1000,1200
140-452-DW,2,Transfusion Science Practices 1,Tamatha Beadles,4,1200,1400
140-452-DW,2,Transfusion Science Practices 1,Tamatha Beadles,5,1000,1200
140-614-DW,1,Histology/Molecular Biology Stage,Harris Kane,1,1400,1700
140-614-DW,1,Histology/Molecular Biology Stage,Harris Kane,5,1300,1600
140-624-DW,1,Clinical Microbiology Stage,Boris Brisbin,1,1000,1500
140-635-DW,1,Clinical Biochemistry Stage,Almeda Deloach,1,900,1400
140-635-DW,1,Clinical Biochemistry Stage,Almeda Deloach,3,900,1400
140-645-DW,1,Hematology/Hemostasis Stage,Arleen Ruston,1,830,1430
140-645-DW,1,Hematology/Hemostasis Stage,Arleen Ruston,3,1200,1800
140-654-DW,1,Transfusion Science Stage,Tamatha Beadles,5,1000,1600
140-923-DW,1,Microbiology,Harris Kane,1,1130,1400
140-923-DW,1,Microbiology,Harris Kane,1,1430,1630
140-923-DW,1,Microbiology,Harris Kane,3,830,1130
142-BWD-03,1,Image and Data Processing in Radiation Oncology,Lia Segura,1,800,900
142-BWD-03,1,Image and Data Processing in Radiation Oncology,Lia Segura,1,1100,1200
142-BWD-03,1,Image and Data Processing in Radiation Oncology,Lia Segura,3,830,1000
142-BWD-03,1,Image and Data Processing in Radiation Oncology,Lia Segura,3,1000,1200
142-BWD-03,2,Image and Data Processing in Radiation Oncology,Lia Segura,1,900,1000
142-BWD-03,2,Image and Data Processing in Radiation Oncology,Lia Segura,1,1100,1200
142-BWD-03,2,Image and Data Processing in Radiation Oncology,Lia Segura,3,830,1000
142-BWD-03,2,Image and Data Processing in Radiation Oncology,Lia Segura,3,1000,1200
142-BWD-03,3,Image and Data Processing in Radiation Oncology,Lia Segura,1,1000,1100
142-BWD-03,3,Image and Data Processing in Radiation Oncology,Lia Segura,1,1100,1200
142-BWD-03,3,Image and Data Processing in Radiation Oncology,Lia Segura,3,830,1000
142-BWD-03,3,Image and Data Processing in Radiation Oncology,Lia Segura,3,1000,1200
142-BWD-03,4,Image and Data Processing in Radiation Oncology,Lia Segura,1,1100,1200
142-BWD-03,4,Image and Data Processing in Radiation Oncology,Lia Segura,3,830,1000
142-BWD-03,4,Image and Data Processing in Radiation Oncology,Lia Segura,3,1000,1200
142-BWE-04,1,Oncology I,Eulalia Crownover,1,1200,1300
142-BWE-04,1,Oncology I,Eulalia Crownover,2,1300,1430
142-BWE-04,1,Oncology I,Eulalia Crownover,4,1300,1430
142-BWE-04,2,Oncology I,Eulalia Crownover,1,1300,1400
142-BWE-04,2,Oncology I,Eulalia Crownover,2,1300,1430
142-BWE-04,2,Oncology I,Eulalia Crownover,4,1300,1430
142-BWE-04,3,Oncology I,Eulalia Crownover,1,1400,1500
142-BWE-04,3,Oncology I,Eulalia Crownover,2,1300,1430
142-BWE-04,3,Oncology I,Eulalia Crownover,4,1300,1430
142-BWF-03,1,Properties of Ionizing Radiation,Dierdre Bissonette,4,800,1000
142-BWF-03,1,Properties of Ionizing Radiation,Dierdre Bissonette,4,1000,1100
142-BWF-03,1,Properties of Ionizing Radiation,Dierdre Bissonette,4,1100,1200
142-BWK-04,1,Radio-Oncology Protection,Amiee Eno,2,1300,1430
142-BWK-04,1,Radio-Oncology Protection,Amiee Eno,2,1430,1530
142-BWK-04,1,Radio-Oncology Protection,Amiee Eno,3,1000,1130
142-BWK-04,1,Radio-Oncology Protection,Amiee Eno,4,1000,1130
142-BWK-04,2,Radio-Oncology Protection,Amiee Eno,2,1300,1430
142-BWK-04,2,Radio-Oncology Protection,Amiee Eno,2,1430,1530
142-BWK-04,2,Radio-Oncology Protection,Amiee Eno,2,1530,1630
